city,population
Jesup ,2508
Jewell Junction ,1216
Johnston ,24064
Joice ,208
Jolley ,28
Kalona ,2630
Kamrar ,179
Kanawha ,658
Kellerton ,243
Kelley ,304
Kellogg ,606
Kensett ,257
Kent CDP,37
Kent Estates CDP,2074
Keokuk ,9900
Keomah Village ,110
Keosauqua ,936
Keota ,897
Keswick ,242
Keystone ,599
Kimballton ,291
Kingsley ,1396
Kingston CDP,81
Kinross ,80
Kirkman ,56
Kirkville ,157
Kiron ,267
Klemme ,441
Knierim ,53
Knoxville ,7595
La Motte ,237
La Porte City ,2284
Lacona ,345
Ladora ,229
Lake City ,1731
Lake Mills ,2143
Lake Panorama CDP,1266
Lake Park ,1167
Lake View ,1113
Lakeside ,700
Lakota ,267
Lambs Grove ,174
Lamoni ,1969
Lamont ,429
Lanesboro ,119
Lansing ,968
Larchwood ,926
Larrabee ,123
Latimer ,477
Laurel ,220
Laurens ,1264
Lawler ,406
Lawton ,943
Le Claire ,4710
Le Grand ,905
Le Mars ,10571
Le Roy ,11
Leando CDP,121
Ledyard ,121
Lehigh ,395
Leighton ,158
Leland ,249
Lenox ,1339
Leon ,1822
Lester ,296
Letts ,363
Lewis ,357
Libertyville ,274
Lidderdale ,166
Lime Springs ,473
Lincoln ,121
Linden ,200
Lineville ,195
Linn Grove ,163
Lisbon ,2233
Liscomb ,291
Little Cedar CDP,64
Little Rock ,439
Little Sioux ,166
Livermore ,381
Lockridge ,244
Logan ,1397
Lohrville ,381
Lone Rock ,146
Lone Tree ,1357
Long Grove ,838
Lorimor ,386
Lost Nation ,434
Loveland CDP,36
Lovilia ,472
Low Moor ,250
Lowden ,807
Lowell CDP,70
Lu Verne ,258
Luana ,301
Lucas ,172
Luther ,152
Luxemburg ,245
Luzerne ,112
Lynnville ,380
Lytton ,282
Macedonia ,267
Macksburg ,97
Madrid ,2802
Magnolia ,190
Maharishi Vedic City ,277
Malcom ,270
Mallard ,257
Maloy ,22
Malvern ,1046
Manchester ,5065
Manilla ,775
Manly ,1256
Manning ,1455
Manson ,1709
Mapleton ,1165
Maquoketa ,6128
Marathon ,230
Marble Rock ,271
Marcus ,1079
Marengo ,2435
Marion ,41535
Marne ,110
Marquette ,429
Marshalltown ,27591
Martelle ,249
Martensdale ,421
Martinsburg ,110
Marysville ,44
Mason City ,27338
Masonville ,99
Massena ,359
Matlock ,74
Maurice ,265
Maxwell ,859
Maynard ,476
Maysville ,156
McCallsburg ,353
McCausland ,313
McClelland ,146
McGregor ,742
McIntire ,113
Mechanicsville ,1020
Mediapolis ,1688
Melbourne ,786
Melcher-Dallas ,1195
Melrose ,110
Melvin ,199
Menlo ,345
Meriden ,161
Merrill ,717
Meservey ,222
Meyer CDP,14
Middle Amana CDP,543
Middletown ,363
Miles ,408
Milford ,3321
Miller CDP,50
Millersburg ,135
Millerton ,36
Milo ,778
Milton ,380
Minburn ,325
Minden ,600
Mineola CDP,154
Mingo ,302
Missouri Valley ,2678
Mitchell ,124
Mitchellville ,2485
Modale ,273
Mona CDP,35
Mondamin ,339
Monmouth ,129
Monona ,1471
Monroe ,1967
Montezuma ,1442
Monticello ,4040
Montour ,203
Montpelier CDP,186
Montrose ,738
Mooar CDP,321
Moorhead ,199
Moorland ,168
Moravia ,637
Morley ,96
Morning Sun ,752
Morrison ,98
Moscow CDP,290
Moulton ,607
Mount Auburn ,162
Mount Ayr ,1623
Mount Pleasant ,9274
Mount Sterling CDP,33
Mount Union CDP,120
Mount Vernon ,4527
Moville ,1687
Murray ,684
Muscatine ,23797
Mystic ,322
Nashua ,1551
Nemaha ,66
Neola ,918
Nevada ,6925
New Albin ,432
New Hampton ,3494
New Hartford ,570
New Haven CDP,77
New Liberty ,138
New London ,1910
New Market ,385
New Providence ,236
New Sharon ,1262
New Vienna ,382
New Virginia ,498
Newell ,906
Newhall ,876
Newton ,15760
Nichols ,340
Nodaway ,74
Nora Springs ,1369
North Buena Vista ,109
North English ,1065
North Liberty ,20479
North Washington ,112
Northboro ,52
Northwood ,2072
Norwalk ,12799
Norway ,466
Numa ,68
Oak Hills CDP,186
Oakland ,1524
Oakland Acres ,176
Oakville ,200
Ocheyedan ,439
Odebolt ,994
Oelwein ,5920
Ogden ,2007
Okoboji ,768
Olds ,192
Olin ,651
Ollie ,201
Onawa ,2906
Onslow ,201
Orange City ,6267
Orchard ,68
Orient ,368
Orleans ,521
Osage ,3627
Osceola ,5415
Oskaloosa ,11558
Ossian ,802
Osterdock ,43
Otho ,429
Oto ,72
Otranto CDP,27
Ottosen ,40
Ottumwa ,25529
Owasa ,34
Oxford ,722
Oxford Junction ,424
Oyens ,92
Pacific Junction ,96
Packwood ,183
Palmer ,138
Palo ,1407
